oclNBody-SP, Throughput = 606.6736 GFLOP/s, Time = 0.07000 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.6721 GFLOP/s, Time = 0.07000 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 605.8943 GFLOP/s, Time = 0.07009 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 605.3626 GFLOP/s, Time = 0.07015 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.3155 GFLOP/s, Time = 0.07004 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.3134 GFLOP/s, Time = 0.07004 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.2327 GFLOP/s, Time = 0.07005 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.3992 GFLOP/s, Time = 0.07003 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.5214 GFLOP/s, Time = 0.07002 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.3414 GFLOP/s, Time = 0.07004 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.1546 GFLOP/s, Time = 0.07006 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.3065 GFLOP/s, Time = 0.07004 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.4273 GFLOP/s, Time = 0.07003 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.3846 GFLOP/s, Time = 0.07003 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.0744 GFLOP/s, Time = 0.07007 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.4210 GFLOP/s, Time = 0.07003 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.5846 GFLOP/s, Time = 0.07001 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.6928 GFLOP/s, Time = 0.07000 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.7035 GFLOP/s, Time = 0.07000 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 606.6779 GFLOP/s, Time = 0.07000 s, Size = 46080 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8638 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8177 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8933 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8650 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8503 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8933 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 612.3430 GFLOP/s, Time = 0.09440 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.2303 GFLOP/s, Time = 0.09411 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.2415 GFLOP/s, Time = 0.09410 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.2254 GFLOP/s, Time = 0.09411 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.1301 GFLOP/s, Time = 0.09412 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9003 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8806 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7041 GFLOP/s, Time = 0.09403 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8980 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8864 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7705 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9001 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8897 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7649 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8766 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8062 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9244 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8995 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7953 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8478 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9073 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8243 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8967 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 612.0926 GFLOP/s, Time = 0.09443 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8545 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.4647 GFLOP/s, Time = 0.09407 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9084 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8753 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8434 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8883 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8827 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7727 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 613.4640 GFLOP/s, Time = 0.09422 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8872 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9059 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8960 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7685 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8974 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8924 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7251 GFLOP/s, Time = 0.09403 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9247 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.0418 GFLOP/s, Time = 0.09413 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7415 GFLOP/s, Time = 0.09403 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 613.7068 GFLOP/s, Time = 0.09419 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 612.5094 GFLOP/s, Time = 0.09437 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8074 GFLOP/s, Time = 0.09402 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9187 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8946 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.7454 GFLOP/s, Time = 0.09403 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8337 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.9088 GFLOP/s, Time = 0.09400 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8719 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8452 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
oclNBody-SP, Throughput = 614.8890 GFLOP/s, Time = 0.09401 s, Size = 53760 bodies, NumDevsUsed = 1, Workgroup = 256
